,dow,incident_date_hour,assault,burglary,larceny,murder,mv_theft,rape,robbery,day_name
0,0,0,24808.0,7114.0,31744.0,111.0,4831.0,1263.0,925.0,monday
1,0,1,20759.0,5545.0,24695.0,86.0,3568.0,921.0,741.0,monday
2,0,2,16672.0,4736.0,20517.0,71.0,3034.0,784.0,650.0,monday
3,0,3,13031.0,4070.0,17112.0,54.0,2682.0,619.0,533.0,monday
4,0,4,10863.0,3452.0,14924.0,58.0,2432.0,527.0,428.0,monday
5,0,5,10539.0,3718.0,16513.0,59.0,2770.0,547.0,489.0,monday
6,0,6,15286.0,5916.0,27965.0,77.0,4466.0,933.0,637.0,monday
7,0,7,26705.0,10193.0,48571.0,135.0,7343.0,1741.0,1055.0,monday
8,0,8,46611.0,17598.0,86375.0,218.0,11714.0,3209.0,1845.0,monday
9,0,9,55807.0,20197.0,101711.0,246.0,13398.0,3806.0,2212.0,monday
10,0,10,61427.0,21927.0,112687.0,262.0,14382.0,4278.0,2366.0,monday
11,0,11,62403.0,22045.0,114034.0,268.0,14381.0,4288.0,2452.0,monday
12,0,12,64490.0,22567.0,117077.0,312.0,14886.0,4369.0,2601.0,monday
13,0,13,64639.0,21897.0,114330.0,258.0,14358.0,4386.0,2512.0,monday
14,0,14,66043.0,22493.0,116533.0,304.0,14441.0,4492.0,2580.0,monday
15,0,15,65933.0,22709.0,117295.0,296.0,14858.0,4432.0,2568.0,monday
16,0,16,65738.0,21710.0,112788.0,294.0,14182.0,4257.0,2503.0,monday
17,0,17,60178.0,19388.0,99558.0,241.0,12645.0,3779.0,2253.0,monday
18,0,18,53127.0,16101.0,82923.0,230.0,10686.0,3027.0,1945.0,monday
19,0,19,48817.0,14270.0,73941.0,200.0,9491.0,2718.0,1863.0,monday
20,0,20,44566.0,12570.0,63210.0,199.0,8453.0,2342.0,1715.0,monday
21,0,21,40414.0,10606.0,52519.0,159.0,7181.0,1891.0,1517.0,monday
22,0,22,33201.0,8747.0,41282.0,139.0,6070.0,1547.0,1251.0,monday
23,0,23,28048.0,7540.0,34511.0,109.0,5061.0,1298.0,1018.0,monday
24,1,0,22157.0,6332.0,28522.0,92.0,4230.0,1163.0,830.0,tuesday
25,1,1,19858.0,5379.0,24922.0,79.0,3652.0,911.0,740.0,tuesday
26,1,2,14685.0,4362.0,19176.0,54.0,2914.0,651.0,584.0,tuesday
27,1,3,12092.0,3759.0,16055.0,56.0,2499.0,569.0,506.0,tuesday
28,1,4,9946.0,3357.0,14455.0,52.0,2284.0,500.0,438.0,tuesday
29,1,5,10223.0,3556.0,16009.0,59.0,2786.0,598.0,439.0,tuesday
30,1,6,14413.0,5276.0,25222.0,59.0,4162.0,824.0,614.0,tuesday
31,1,7,25904.0,9568.0,46012.0,117.0,6916.0,1615.0,1077.0,tuesday
32,1,8,43691.0,16295.0,80589.0,180.0,10836.0,2974.0,1736.0,tuesday
33,1,9,52450.0,18685.0,95479.0,243.0,12228.0,3693.0,2110.0,tuesday
34,1,10,58345.0,20105.0,104895.0,225.0,13324.0,4098.0,2229.0,tuesday
35,1,11,60408.0,20864.0,107879.0,263.0,13501.0,4207.0,2384.0,tuesday
36,1,12,64174.0,22032.0,114877.0,297.0,14427.0,4298.0,2508.0,tuesday
37,1,13,62457.0,20744.0,109236.0,248.0,13553.0,4280.0,2380.0,tuesday
38,1,14,64923.0,21569.0,113297.0,278.0,13921.0,4388.0,2495.0,tuesday
39,1,15,64393.0,21545.0,112916.0,265.0,13952.0,4212.0,2536.0,tuesday
40,1,16,61868.0,20503.0,108319.0,266.0,13621.0,4141.0,2458.0,tuesday
41,1,17,56971.0,18191.0,94036.0,274.0,11998.0,3459.0,2114.0,tuesday
42,1,18,51661.0,15720.0,81140.0,215.0,10431.0,2948.0,1957.0,tuesday
43,1,19,46963.0,13880.0,71209.0,182.0,9070.0,2609.0,1781.0,tuesday
44,1,20,42859.0,12047.0,61850.0,180.0,8258.0,2273.0,1597.0,tuesday
45,1,21,39907.0,10641.0,52499.0,159.0,7376.0,1921.0,1484.0,tuesday
46,1,22,34267.0,9012.0,42798.0,159.0,6232.0,1607.0,1260.0,tuesday
47,1,23,27628.0,7333.0,34498.0,116.0,4919.0,1254.0,1022.0,tuesday
48,2,0,24835.0,6757.0,30162.0,113.0,4425.0,1369.0,852.0,wednesday
49,2,1,21542.0,5540.0,25218.0,91.0,3666.0,929.0,769.0,wednesday
50,2,2,17722.0,4761.0,21131.0,83.0,3121.0,764.0,658.0,wednesday
51,2,3,13174.0,3948.0,16984.0,59.0,2608.0,644.0,561.0,wednesday
52,2,4,11250.0,3717.0,15506.0,44.0,2508.0,565.0,443.0,wednesday
53,2,5,10417.0,3564.0,15970.0,46.0,2684.0,614.0,428.0,wednesday
54,2,6,14887.0,5151.0,24636.0,75.0,3983.0,778.0,581.0,wednesday
55,2,7,26214.0,9544.0,46758.0,119.0,7038.0,1641.0,1045.0,wednesday
56,2,8,43600.0,16127.0,79133.0,190.0,10811.0,2951.0,1655.0,wednesday
57,2,9,51952.0,18590.0,94131.0,229.0,12337.0,3654.0,1995.0,wednesday
58,2,10,57812.0,19932.0,103409.0,247.0,13322.0,3933.0,2218.0,wednesday
59,2,11,59875.0,20277.0,104952.0,258.0,13373.0,4081.0,2224.0,wednesday
60,2,12,63865.0,21551.0,112657.0,249.0,14306.0,4297.0,2544.0,wednesday
61,2,13,61650.0,20294.0,108278.0,248.0,13329.0,3978.0,2365.0,wednesday
62,2,14,62863.0,20925.0,110386.0,261.0,13741.0,4298.0,2386.0,wednesday
63,2,15,65739.0,22287.0,114662.0,267.0,14272.0,4322.0,2552.0,wednesday
64,2,16,63397.0,20953.0,109694.0,292.0,13547.0,4068.0,2558.0,wednesday
65,2,17,56840.0,18219.0,93058.0,229.0,11732.0,3490.0,2125.0,wednesday
66,2,18,52044.0,15579.0,80904.0,204.0,10478.0,2968.0,1890.0,wednesday
67,2,19,47840.0,14010.0,71606.0,207.0,9220.0,2634.0,1885.0,wednesday
68,2,20,44621.0,12411.0,62736.0,200.0,8220.0,2347.0,1607.0,wednesday
69,2,21,39473.0,10611.0,52246.0,190.0,7150.0,1843.0,1504.0,wednesday
70,2,22,34048.0,8878.0,42332.0,168.0,6241.0,1607.0,1256.0,wednesday
